,Country,Ipl_Team,Name,URL
130,India,Banglore,Yuzvendra Chahal,http://www.espncricinfo.com/indian-premier-league-2016/content/player/430246.html
131,South Africa,Banglore,AB de Villiers,http://www.espncricinfo.com/indian-premier-league-2016/content/player/44936.html
132,West Indies,Banglore,Chris Gayle,http://www.espncricinfo.com/indian-premier-league-2016/content/player/51880.html
133,Australia,Banglore,Travis Head,http://www.espncricinfo.com/indian-premier-league-2016/content/player/530011.html
134,India,Banglore,Iqbal Abdulla,http://www.espncricinfo.com/indian-premier-league-2016/content/player/277237.html
135,India,Banglore,Kedar Jadhav,http://www.espncricinfo.com/indian-premier-league-2016/content/player/290716.html
136,India,Banglore,Sarfaraz Khan,http://www.espncricinfo.com/indian-premier-league-2016/content/player/642525.html
137,India,Banglore,Vikramjeet Malik,http://www.espncricinfo.com/indian-premier-league-2016/content/player/31738.html
138,India,Banglore,Mandeep Singh,http://www.espncricinfo.com/indian-premier-league-2016/content/player/398506.html
139,New Zealand,Banglore,Adam Milne,http://www.espncricinfo.com/indian-premier-league-2016/content/player/450860.html
140,India,Banglore,Parvez Rasool,http://www.espncricinfo.com/indian-premier-league-2016/content/player/378496.html
141,India,Banglore,Harshal Patel,http://www.espncricinfo.com/indian-premier-league-2016/content/player/390481.html
142,India,Banglore,Lokesh Rahul,http://www.espncricinfo.com/indian-premier-league-2016/content/player/422108.html
143,Australia,Banglore,Kane Richardson,http://www.espncricinfo.com/indian-premier-league-2016/content/player/272262.html
144,Australia,Banglore,Mitchell Starc,http://www.espncricinfo.com/indian-premier-league-2016/content/player/311592.html
145,Australia,Banglore,Shane Watson,http://www.espncricinfo.com/indian-premier-league-2016/content/player/8180.html
146,South Africa,Banglore,David Wiese,http://www.espncricinfo.com/indian-premier-league-2016/content/player/221140.html
147,Australia,Sunrisers,David Warner,http://www.espncricinfo.com/indian-premier-league-2016/content/player/219889.html
148,India,Sunrisers,Ashish Reddy,http://www.espncricinfo.com/indian-premier-league-2016/content/player/389605.html
149,India,Sunrisers,Ricky Bhui,http://www.espncricinfo.com/indian-premier-league-2016/content/player/642531.html
150,New Zealand,Sunrisers,Trent Boult,http://www.espncricinfo.com/indian-premier-league-2016/content/player/277912.html
151,Australia,Sunrisers,Ben Cutting,http://www.espncricinfo.com/indian-premier-league-2016/content/player/230371.html
152,India,Sunrisers,Shikhar Dhawan,http://www.espncricinfo.com/indian-premier-league-2016/content/player/28235.html
153,Australia,Sunrisers,Moises Henriques,http://www.espncricinfo.com/indian-premier-league-2016/content/player/5961.html
154,India,Sunrisers,Deepak Hooda,http://www.espncricinfo.com/indian-premier-league-2016/content/player/497121.html
155,India,Sunrisers,Siddarth Kaul,http://www.espncricinfo.com/indian-premier-league-2016/content/player/326017.html
156,India,Sunrisers,Bhuvneshwar Kumar,http://www.espncricinfo.com/indian-premier-league-2016/content/player/326016.html
157,India,Sunrisers,Abhimanyu Mithun,http://www.espncricinfo.com/indian-premier-league-2016/content/player/310958.html
158,England,Sunrisers,Eoin Morgan,http://www.espncricinfo.com/indian-premier-league-2016/content/player/24598.html
159,Bangladesh,Sunrisers,Mustafizur Rahman,http://www.espncricinfo.com/indian-premier-league-2016/content/player/330902.html
160,India,Sunrisers,Ashish Nehra,http://www.espncricinfo.com/indian-premier-league-2016/content/player/31820.html
161,India,Sunrisers,Naman Ojha,http://www.espncricinfo.com/indian-premier-league-2016/content/player/32102.html
162,India,Sunrisers,Vijay Shankar,http://www.espncricinfo.com/indian-premier-league-2016/content/player/477021.html
163,India,Sunrisers,Karn Sharma,http://www.espncricinfo.com/indian-premier-league-2016/content/player/30288.html
164,India,Sunrisers,Barinder Sran,http://www.espncricinfo.com/indian-premier-league-2016/content/player/537126.html
165,India,Sunrisers,Tirumalasetti Suman,http://www.espncricinfo.com/indian-premier-league-2016/content/player/34281.html
166,India,Sunrisers,Aditya Tare,http://www.espncricinfo.com/indian-premier-league-2016/content/player/333904.html
167,New Zealand,Sunrisers,Kane Williamson,http://www.espncricinfo.com/indian-premier-league-2016/content/player/277906.html
168,India,Sunrisers,Yuvraj Singh,http://www.espncricinfo.com/indian-premier-league-2016/content/player/36084.html
